latitude,longitude,brightness,date,time,fre
-37.3799,142.114,341.8,2019-10-1,342,5.9
-37.1271,141.126,367,2019-10-1,342,14.9
-37.1269,141.13,367,2019-10-1,342,14.9
-37.1325,141.127,352.7,2019-10-1,342,20.6
-37.1323,141.131,367,2019-10-1,342,20.6
-37.3805,141.285,345.4,2019-10-1,342,3.6
-37.3822,141.287,340.8,2019-10-1,342,4
-37.1266,141.134,334.6,2019-10-1,342,11.2
-37.2705,144.477,339.5,2019-10-1,342,5.7
-37.2684,144.474,330.7,2019-10-1,342,3.5
-37.2729,144.474,340.7,2019-10-1,342,3.5
-37.1945,144.467,341.6,2019-10-1,342,15
-37.2709,144.472,325.9,2019-10-1,342,5.7
-38.0165,142.774,331.7,2019-10-1,342,4.5
-38.0566,143.904,336.7,2019-10-1,342,5.6
-38.0593,143.908,339.4,2019-10-1,342,6.7
-38.0562,143.91,327.7,2019-10-1,342,4.9
-38.0547,143.908,329.8,2019-10-1,342,4.9
-37.5296,143.456,344.8,2019-10-1,342,7.3
-38.0162,142.773,334.4,2019-10-1,342,3.4
-38.1299,146.384,338.9,2019-10-1,342,4.9
-37.6505,141.292,354.3,2019-10-1,342,13.7
-37.6503,141.296,367,2019-10-1,342,13.7
-37.8333,144.789,337.1,2019-10-1,342,3.5
-38.546,146.566,331.2,2019-10-1,342,4.4
-36.1365,143.598,332.4,2019-10-1,342,4.6
-36.1421,143.586,339.3,2019-10-1,342,5.2
-36.379,145.432,327.5,2019-10-1,342,2.2
-36.1411,143.598,339.7,2019-10-1,342,4.6
-36.1416,143.592,347.9,2019-10-1,342,4.6
-36.2557,145.2,330.1,2019-10-1,342,4.5
-37.1928,144.47,326.2,2019-10-1,518,4.5
-37.1943,144.47,328.5,2019-10-1,518,4.2
-37.1316,141.125,344.5,2019-10-1,518,6.2
-37.1301,141.131,353.2,2019-10-1,518,6.2
-37.2579,143.42,337.5,2019-10-1,518,3.4
-37.5277,143.456,334.7,2019-10-1,518,6.1
-37.3829,142.118,345.9,2019-10-1,518,7.2
-36.4609,141.107,338.2,2019-10-1,518,4.2
-36.1427,143.595,330.5,2019-10-1,518,6.2
-37.654,141.297,356.1,2019-10-1,518,7.4
-37.6525,141.302,339.1,2019-10-1,518,7.4
-37.6482,141.294,339,2019-10-1,518,7.4
-36.1387,143.602,299.7,2019-10-1,1500,0.8
-37.1724,145.561,297,2019-10-1,1500,0.6
-37.1369,145.373,300.7,2019-10-1,1500,0.6
-37.5291,143.458,315.2,2019-10-1,1500,2.1
-37.5296,143.457,324.1,2019-10-1,1500,2.7
-37.3114,143.348,303.5,2019-10-1,1500,1
-38.2107,146.242,296.8,2019-10-1,1500,0.4
-37.1296,141.13,299.7,2019-10-1,1500,0.9
-37.1298,141.132,298.1,2019-10-1,1500,0.4
-37.8333,144.789,329.4,2019-10-1,1500,4.1
-38.5036,146.151,316.8,2019-10-1,1500,0.8
-37.4099,141.722,353.2,2019-10-2,318,10
-37.3448,141.477,344.3,2019-10-2,318,12.4
-37.4066,141.721,344.9,2019-10-2,318,9.2
-37.3827,142.112,330.2,2019-10-2,318,2.9
-37.3446,141.484,367,2019-10-2,318,12.4
-37.4605,143.445,328.6,2019-10-2,318,3.6
-36.7017,146.312,329.6,2019-10-2,318,1.7
-36.8202,145.776,329.8,2019-10-2,318,2.4
-36.8165,145.775,330.5,2019-10-2,318,1.9
-36.5472,141.262,335.5,2019-10-2,318,6.4
-36.4689,141.064,327,2019-10-2,318,3.7
-37.5851,148.112,333.8,2019-10-2,318,11.1
-37.5856,148.105,345.1,2019-10-2,318,11.1
-37.5904,148.106,342.5,2019-10-2,318,14.6
-36.4699,141.063,328.3,2019-10-2,318,4.9
-38.4523,145.555,344.4,2019-10-2,318,4.9
-38.1621,143.586,329.2,2019-10-2,500,3.4
-37.4889,143.41,330.3,2019-10-2,500,2.4
-37.5935,148.106,347.4,2019-10-2,500,8.2
-37.5852,148.109,354.9,2019-10-2,500,22.1
